,id_chord,id_spotify_track,year,artist,name,release_date,percentage,rank,position,id_experiment
0,6001027,75JFxkI2RXiU7L9VXzMkle,2002,Coldplay,The Scientist (Glee Cast Version),,100,0,0,100
1,180849,3jButwtJMLx3Ub61BfRiHh,2022,Coldplay,The Scientist (Glee Cast Version),6/3/22,100,0,1,100
2,5000008,68iMdxXn1timrxURm9dR8C,2012,Glee Cast,The Scientist (Glee Cast Version),,98.742,1.257849165,93,100
3,5000023,6f46TyGZm5oeKIP54PLvql,2014,Glee Cast,The Scientist (Glee Cast Version),,98.363,1.63653614,257,100
4,5000011,5FoM2ZWwhgTxHFFh2stUw6,2022,Savanna Leigh,The Scientist,,98.336,1.663620252,269,100
5,1686718,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,4/28/15,98.269,1.730953702,313,100
6,5000013,2LbHYfTYW6TipHInIjqdaQ,2015,Boyce Avenue - Hannah Trigwell,The Scientist,,98.269,1.730953702,314,100
7,5000017,34dnNAUoIPcwnK0RtVMBWZ,2013,Tyler Ward - Lindsey Stirling - Kina Grannis,The Scientist,,97.975,2.02549019,574,100
8,5000001,025vpSSyndhVZezl8rUF6L,2018,Brooklyn Duo,The Scientist,,97.761,2.239079088,780,100
9,5000007,6TyaYGQKCnRLVTOQlXvYAA,2019,Grabriella,The Scientist,,97.584,2.416143015,1015,100
10,5000018,49Nzxf1LskunwmZ6EyWUew,2018,Alex Goot - Jada Facer,The Scientist,,97.39,2.610032884,1285,100
11,5000012,7tn1tcxenMwDXrYTOjS3z1,2017,Corinne Bailey Rae,The Scientist,,97.133,2.866502763,1692,100
12,5000020,66Z3LdLjtwfIdHFF0wZa5B,2016,Soundtrack Wonder Band,The Scientist (From Wicker Park),,97.074,2.925660571,1799,100
13,5000019,49ilSrZNQcle6PYw8rtvzM,2021,The Petersens,The Scientist - Live,,96.866,3.134464207,2140,100
